T03,Population growth and indicators of fertility and mortality,,,,,
578,Norway,2025,Total fertility rate (children per women),1.4,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
578,Norway,2025,"Under five mortality rate for both sexes (per 1,000 live births)",2.0,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
578,Norway,2025,Life expectancy at birth for both sexes (years),83.6,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
578,Norway,2025,Life expectancy at birth for males (years),82.1,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
578,Norway,2025,Life expectancy at birth for females (years),85.1,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2010,Population annual rate of increase (percent),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2010,Total fertility rate (children per women),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2010,"Under five mortality rate for both sexes (per 1,000 live births)",11.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2010,"Maternal mortality ratio (deaths per 100,000 population)",18,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
512,Oman,2010,Life expectancy at birth for both sexes (years),77.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2010,Life expectancy at birth for males (years),75.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2010,Life expectancy at birth for females (years),79.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2015,Population annual rate of increase (percent),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2015,Total fertility rate (children per women),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2015,"Under five mortality rate for both sexes (per 1,000 live births)",11.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2015,"Maternal mortality ratio (deaths per 100,000 population)",15,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
512,Oman,2015,Life expectancy at birth for both sexes (years),79.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2015,Life expectancy at birth for males (years),77.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2015,Life expectancy at birth for females (years),81.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2020,Population annual rate of increase (percent),-2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2020,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2020,"Under five mortality rate for both sexes (per 1,000 live births)",10.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2020,"Maternal mortality ratio (deaths per 100,000 population)",17,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
512,Oman,2020,Life expectancy at birth for both sexes (years),77.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2020,Life expectancy at birth for males (years),76.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2020,Life expectancy at birth for females (years),79.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2025,Population annual rate of increase (percent),3.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2025,Total fertility rate (children per women),2.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2025,"Under five mortality rate for both sexes (per 1,000 live births)",9.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
512,Oman,2025,Life expectancy at birth for both sexes (years),80.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2025,Life expectancy at birth for males (years),78.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
512,Oman,2025,Life expectancy at birth for females (years),82.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2010,Population annual rate of increase (percent),0.2,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2010,Total fertility rate (children per women),0.9,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2010,"Under five mortality rate for both sexes (per 1,000 live births)",5.7,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2010,Life expectancy at birth for both sexes (years),79.0,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2010,Life expectancy at birth for males (years),76.0,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2010,Life expectancy at birth for females (years),82.5,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2015,Population annual rate of increase (percent),0.2,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2015,Total fertility rate (children per women),1.2,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2015,"Under five mortality rate for both sexes (per 1,000 live births)",5.0,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2015,Life expectancy at birth for both sexes (years),79.9,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2015,Life expectancy at birth for males (years),76.7,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2015,Life expectancy at birth for females (years),83.4,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2020,Population annual rate of increase (percent),-0.1,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2020,Total fertility rate (children per women),1.0,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2020,"Under five mortality rate for both sexes (per 1,000 live births)",4.5,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2020,Life expectancy at birth for both sexes (years),81.1,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2020,Life expectancy at birth for males (years),77.9,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2020,Life expectancy at birth for females (years),84.5,"For statistical purposes, the data for China do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2025,Population annual rate of increase (percent),-0.4,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2025,Total fertility rate (children per women),0.9,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2025,"Under five mortality rate for both sexes (per 1,000 live births)",4.2,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
158,Other non-specified areas,2025,Life expectancy at birth for both sexes (years),80.9,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2025,Life expectancy at birth for males (years),78.1,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
158,Other non-specified areas,2025,Life expectancy at birth for females (years),83.9,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2010,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2010,Total fertility rate (children per women),4.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2010,"Under five mortality rate for both sexes (per 1,000 live births)",87.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2010,"Maternal mortality ratio (deaths per 100,000 population)",230,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
586,Pakistan,2010,Life expectancy at birth for both sexes (years),64.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2010,Life expectancy at birth for males (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2010,Life expectancy at birth for females (years),66.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2015,Population annual rate of increase (percent),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2015,Total fertility rate (children per women),4.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2015,"Under five mortality rate for both sexes (per 1,000 live births)",76.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2015,"Maternal mortality ratio (deaths per 100,000 population)",187,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
586,Pakistan,2015,Life expectancy at birth for both sexes (years),65.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2015,Life expectancy at birth for males (years),63.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2015,Life expectancy at birth for females (years),68.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2020,Population annual rate of increase (percent),1.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2020,Total fertility rate (children per women),3.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2020,"Under five mortality rate for both sexes (per 1,000 live births)",65.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2020,"Maternal mortality ratio (deaths per 100,000 population)",154,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
586,Pakistan,2020,Life expectancy at birth for both sexes (years),65.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2020,Life expectancy at birth for males (years),63.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2020,Life expectancy at birth for females (years),68.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2025,Population annual rate of increase (percent),1.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2025,Total fertility rate (children per women),3.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2025,"Under five mortality rate for both sexes (per 1,000 live births)",56.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
586,Pakistan,2025,Life expectancy at birth for both sexes (years),67.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2025,Life expectancy at birth for males (years),65.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
586,Pakistan,2025,Life expectancy at birth for females (years),70.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2010,Population annual rate of increase (percent),-1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2010,Total fertility rate (children per women),1.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2010,"Under five mortality rate for both sexes (per 1,000 live births)",19.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2010,Life expectancy at birth for both sexes (years),68.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2010,Life expectancy at birth for males (years),65.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2010,Life expectancy at birth for females (years),72.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2015,Population annual rate of increase (percent),0.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2015,Total fertility rate (children per women),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2015,"Under five mortality rate for both sexes (per 1,000 live births)",21.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2015,Life expectancy at birth for both sexes (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2015,Life expectancy at birth for males (years),66.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2015,Life expectancy at birth for females (years),72.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2020,Population annual rate of increase (percent),0.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2020,Total fertility rate (children per women),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2020,"Under five mortality rate for both sexes (per 1,000 live births)",22.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2020,Life expectancy at birth for both sexes (years),68.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2020,Life expectancy at birth for males (years),66.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2020,Life expectancy at birth for females (years),71.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2025,Population annual rate of increase (percent),-0.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2025,Total fertility rate (children per women),1.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2025,"Under five mortality rate for both sexes (per 1,000 live births)",21.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
585,Palau,2025,Life expectancy at birth for both sexes (years),69.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2025,Life expectancy at birth for males (years),67.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
585,Palau,2025,Life expectancy at birth for females (years),72.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2010,Population annual rate of increase (percent),1.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2010,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2010,"Under five mortality rate for both sexes (per 1,000 live births)",18.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2010,"Maternal mortality ratio (deaths per 100,000 population)",55,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
591,Panama,2010,Life expectancy at birth for both sexes (years),76.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2010,Life expectancy at birth for males (years),73.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2010,Life expectancy at birth for females (years),79.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2015,Population annual rate of increase (percent),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2015,Total fertility rate (children per women),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2015,"Under five mortality rate for both sexes (per 1,000 live births)",17.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2015,"Maternal mortality ratio (deaths per 100,000 population)",49,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
591,Panama,2015,Life expectancy at birth for both sexes (years),77.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2015,Life expectancy at birth for males (years),74.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2015,Life expectancy at birth for females (years),80.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2020,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2020,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2020,"Under five mortality rate for both sexes (per 1,000 live births)",12.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2020,"Maternal mortality ratio (deaths per 100,000 population)",50,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
591,Panama,2020,Life expectancy at birth for both sexes (years),76.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2020,Life expectancy at birth for males (years),73.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2020,Life expectancy at birth for females (years),79.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2025,Population annual rate of increase (percent),1.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2025,Total fertility rate (children per women),2.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2025,"Under five mortality rate for both sexes (per 1,000 live births)",12.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
591,Panama,2025,Life expectancy at birth for both sexes (years),80.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
591,Panama,2025,Life expectancy at birth for males (years),77.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
